Iteración,Algoritmo,N,Patrón,Tiempo(ms),Comparaciones,Intercambios,Profundidad,CommitHash
1,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
2,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
3,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
4,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
5,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
6,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
7,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
8,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
9,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
10,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
11,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
12,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
13,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
14,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
15,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
16,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
17,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
18,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
19,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
20,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
21,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
22,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
23,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
24,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
25,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
26,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
27,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
28,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
29,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
30,QuickSort,1000,Ordenado ascendente,0,0,0,0,ABC123
